Name,Title,Snippet
Daniel Tucker,"Chief, Records Officer at U.S. Immigration and Customs Enforcement (ICE)","16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Shiraz Panthaky,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Experience: U.S. Immigration and Customs Enforcement (ICE) · Location: Falls Church · 191 connections on LinkedIn. View Shiraz Panthaky’s profile on LinkedIn, a professional …"
Jason Brazie,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Joseph Chapman,,"4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, ... the Massachusetts Judicial Conduct Commission charged Joseph with misconduct ... 16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among …"
"Quenton. Brown, Sr.","Division Chief, Business Management Office (ICE)","Mar 19, 2025 · Brown University issued a travel warning to international students and faculty after a staff member was deported to Lebanon by the Trump administration. Newsweek reached out to Brown University... 16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among …"
Jim Carmany,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Nate Fontaine,Proven senior leader in Local and Federal Government through service as an elected Mayor…,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ..."
Roger Miranda,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Joanna Chan,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ..."
Sarah Jolly,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Stephen Hall,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Nicole Johnson,"Deputy Strategic Resource Advisor, Management and Administration, U.S. Immigration and Customs Enforcement (ICE)","16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Tim M.,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Mar 30, 2025 · ICE agents detained the graduate student from the University of Minnesota earlier this week, the university said in a statement on Friday, describing the incident as ""deeply …"
"Matthew Ochoa, MPAff",Chief of Staff | Assistant Field Office Director,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among border agents under ... 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, Enforcement and Removal Operations (ICE ERO), along with federal partners from the FBI, …"
Dean I. Mc Donald,,"4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ... Feb 27, 2025 · OPR promotes organizational integrity by vigilantly managing ICE’s security programs, conducting independent reviews of ICE programs and operations, and impartially …"
Robyn Clayton,Management and Program Analyst at U.S. Immigration and Customs Enforcement (ICE),"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He … 4 days ago · Allegations of ICE employee or contractor misconduct should be reported to the DHS Office of Inspector General at 800-323-8603 or the ICE Office of Professional Responsibility at 833-442-3677 or ..."
Renata Palen,Retired Fraud Detection and National Security Immigration Officer,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Edward Ingram III,Human Resources Specialist,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Robert Holscher,Program Manager at U.S. Immigration and Customs Enforcement (ICE),"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among border agents under ... Program Manager at U.S. Immigration and Customs Enforcement (ICE) · Experience: U.S. Immigration and Customs Enforcement (ICE) · Location: Springfield. View Robert Holscher’s profile on..."
Kevin Wetzel,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ..."
Mister Biller,,"4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ... 16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among border agents under ..."
